artist,title,genre,url,region,score,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Charlie Dreaming,Ocean Maladay (Inspired by 'The Outlaw Ocean' a book by Ian Urbina),ambient,https://charliedreaming.bandcamp.com/album/ocean-maladay-inspired-by-the-outlaw-ocean-a-book-by-ian-urbina,calgary,79.0,50,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02179d76c5a985fc2bfc1cd3ab,6moveFU10tUlXvoPvNLJO3,2RK3yBP8NFH1CLOEj0BIAM
Leif Vollebekk,Rest,folk,https://leifvollebekk.bandcamp.com/album/rest,montreal,74.4,56,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e022d80fa3d56086fb193cffcba,1sZm9pYhNz5WGEZEOeISzr,3jzXlBF2157k4exx7idecs
Monstercat,Monstercat Uncaged Vol. 9,electronic,https://music.monstercat.com/album/monstercat-uncaged-vol-9,vancouver,74.0,40,2020-06-04T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02b016dcde22e33600bd9c5244,4OGuOK0282wh1HCDJhlRZ3,4YwB41gFHCxY5bcNR3CcIH
The Lost Fingers,VS. 2,jazz,https://thelostfingers.bandcamp.com/album/vs-2,quebec,73.4,36,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02380cc4eab47fca802f9b9a32,7HnYmwa7oASfIP1Jn8PmXq,6sp0EZC05wbJUlY1h8oOUc
"Dope Knife, Factor Chandelier",Kill Factory,hip-hop/rap,https://factorchandelier.bandcamp.com/album/kill-factory,saskatchewan,72.2,33,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021001afcd1c480442c23214aa,7LiWXEHE7Wci7K3FgYuJsa,68XL9b5CHwRP50KMcVGl33
kerri,always confused,r&b/soul,https://kerri.bandcamp.com/album/always-confused,montreal,70.0,45,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c63ddbf5ce1e91f15b63b7bb,7zlCyeZMFrIOizWfNo885C,7mupgmN5rkDNGrqQt1tjcf
bonsai2004,warmer.days,hip-hop/rap,https://bonsai2004.bandcamp.com/album/warmer-days-2,toronto,69.6,24,2020-06-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02215989a7b4d9e93039458485,0LyW8ooHg1BSBFaZLb63qf,4dadbZwGXdRXe17zBigfoO
Conro,Level Days,electronic,https://music.monstercat.com/album/level-days,vancouver,67.8,57,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025db0e158c9343c8fada495d6,40Yky457gNkU3chdZUIoTY,1BAdSa5cdtCNLbvT7gWmtJ
Jesse Mac Cormack,Now (Jesse Mac Cormack Remix),alternative,https://jessemaccormack.bandcamp.com/album/now-jesse-mac-cormack-remix,montreal,66.8,37,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0230cd604e98c5e97ee2c3a61e,5fDxrd3KzTphuciWwa34mm,2H8M8TXbgq7ZF676K4Zm2C
Backxwash,God Has Nothing To Do With This Leave Him Out Of It,hip-hop/rap,https://backxwash.bandcamp.com/album/god-has-nothing-to-do-with-this-leave-him-out-of-it,montreal,65.8,37,2020-05-28T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027b6cc19a972cb54a661737fd,1rE7wAUQnDD109mldMff6p,4du3q8TIzsZxZZKdRT23Jg
C. Diab,White Whale,experimental,https://cdiab.bandcamp.com/album/white-whale-2,vancouver,65.4,16,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023e6dd9957e39f4bb71c9ed58,2B7VYEVtU1Cd2ZlPZn8JQ3,4jIb1FKwE3QlPyNYTBLPSA
Amelie No,Part 1,pop,https://amelieno.bandcamp.com/album/part-1,quebec,65.4,16,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0204fb2fad75e145835d4b8dae,4eJgUiO5ZibUg5BEIuoIJo,1SmZIEKuMaoEtLmQtF1Ly3
Royal Canoe,Glacial (Live),pop,https://royalcanoe.bandcamp.com/album/glacial-live,manitoba,65.2,33,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f579d4b8932046829ae30c51,0dBV9bUj6BSihMXB3vu2t8,5fLcxlU1oDJrMNOZsewCpK
Devi McCallion,Blue Skies,alternative,https://blacksquares.bandcamp.com/album/blue-skies,toronto,65.0,25,2020-06-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0256b854c75b70ebfbd3b2728a,0qhkLA5T3kLyfLq5trQNE0,6i1PYODUPDYMtaK8QCGE9I
Technology,Sonic Ayurveda,,https://metabolizmrecords.bandcamp.com/album/sonic-ayurveda,montreal,65.0,25,2020-06-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02460519c18585174c3087f6ee,6Ad7W0jYUvOFDESln0clC4,1Yc7wyu2VfROa1hdESfHsi
Ada Rook,"2,020 Knives",electronic,https://adarook.bandcamp.com/album/2020-knives,toronto,64.8,27,2020-05-31T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0212bc7e61436909cbfe069072,3CsCW2sfSTAgsiZF0zSEcB,1x1MfkVjf8yEzwKhAYZtPY
Soft Plastics,5 Dreams,alternative,https://softplastics.bandcamp.com/album/5-dreams,vancouver,64.2,13,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025aad83c06b03229c680fc1a5,1My4L9toxlXdeAXKcwjXlQ,3MVs8vovPIBHsQKyHXSkhF
Jon Corbin,You Care (Night Drive remix),hip-hop/rap,https://joncorbin.bandcamp.com/album/you-care-night-drive-remix,ontario,64.2,13,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0212bcb750e791697ba4297cd5,5vf36SMvH54bkcW7gLnEst,4layy4JKlZineBqGzkvBpM
Owen Pallett,Island,experimental,https://owenpallett.bandcamp.com/album/island,toronto,63.8,47,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02067df733ad26ab86ea6bd767,07fRYHyHA0ptI3NvxmmCkv,77Rj6PHmQJFb8nbSH62y68
Soul Secret Agency,Instrumentals,r&b/soul,https://soulsecretagency.bandcamp.com/album/instrumentals,montreal,62.6,9,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028a3660179e0df2da5f71bb64,7rGBQK7F76TybL0xTcA00E,3yUdxHpmKxpelMIatVbJ5m
Palm Haze,Walk Away,alternative,https://palmhaze.bandcamp.com/album/walk-away,vancouver,62.6,9,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a1efb049186574c4f95bae06,1XmrzAWRh6FRDNDqTujOvL,2RgJA4EdVMUHrf5ot7Qcad
The Free Label,M.I.A.,pop,https://thefreelabel.bandcamp.com/album/m-i-a,toronto,62.4,26,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e027cd95cb997c1f389bb6a529f,28HNvMDEixMpGQRkEFQ6iL,4YOL2g6AwphwsB1dOZZSOr
Flowzus,WVVYFLOW,hip-hop/rap,https://flowzus.bandcamp.com/album/wvvyflow,ontario,62.2,8,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a7fee68eb1b95258522f25d4,3X9OtRaWEYfw72iBn00IBy,5nhVBUjH1SA0T59eKdp0ZJ
Jordan Klassen,Tell Me What To Do,folk,https://jordanklassen.bandcamp.com/album/tell-me-what-to-do,vancouver,60.6,39,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0257a44e67d27d1f5bbe504aad,59iDkt4z9gEE2732tVgqty,70QS2gTlkKW2rNjlmMBNp8
Babylones,Le tournesol géant,alternative,https://babylones.bandcamp.com/album/le-tournesol-g-ant,montreal,60.2,3,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02749870d2f623a06a296f77eb,4hg4x4QSoXQNbtJujGL5bO,0yy6h30PK14H72ioopnO8z
Ultraklystron,Xerostep,hip-hop/rap,https://ultraklystron.com/album/xerostep,victoria,60.2,3,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a566140254ee4f62eca9f205,13uHmSqnatuEA6nC4JjiiR,3oZ7SsUW4wmvVLlRrbwadH
Kyle Richtig,Holiday Hopes,alternative,https://kylerichtig.bandcamp.com/album/holiday-hopes,newbrunswick,59.4,1,2020-06-05T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028884b873dbea4d0937b8d3ce,2qc9498R3SzXTLR6lhx4Vx,5O8De5sAeGNa1ufW1bSvdh
Rigel,Interdimensional Travel,,https://metabolizmrecords.bandcamp.com/album/interdimensional-travel,montreal,59.2,8,2020-06-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f842ea288caf5df6cb658d02,614clzBGNqUvCPxEQnkLP8,51LCXEMYKe2ncyKCyco4vY
Black On Black,SHOWBIZ,alternative,https://blackonblack23.bandcamp.com/album/showbiz-2,vancouver,59.2,3,2020-06-04T00:00.000Z,https://i.scdn.co/image/ab67616d00001e020b9f203657cd27e4018c2227,5LGzwL0GeIi5Lq8t2rGFTT,0HiOhQVrQve3mN5wznr2W9
Happy Beats,The Long Pause,electronic,https://happy-beats.bandcamp.com/album/the-long-pause,newfoundland,59.2,8,2020-06-02T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021eeda85442c08c02b525fdfc,42hAIGaJ4SRiCKZgS9E96k,6dJsejNEeHftMhW2RoPo6m
