artist,title,genre,rating,score,url,source,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Steve Earle,Ghosts of West Virginia,Pop/Rock,4.5,84.267,https://www.allmusic.com/album/ghosts-of-west-virginia-mw0003365551,allmusic,63,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02f8ce2ad60312eb0e8ebb274d,6wQa5jlPJRxZnQjpZLlsMD,2UBTfUoLI07iRqGeUrwhZh
Perfume Genius,"Set My Heart on Fire, Immediately",Pop/Rock,4.5,82.733,https://www.allmusic.com/album/set-my-heart-on-fire-immediately-mw0003362590,allmusic,67,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029af34850f5125ef195d6101a,6daEdTBi1hyFQgmsnR7oRr,2ueoLVCXQ948OfhVvAy3Nn
Jason Isbell,Reunions,Pop/Rock,4.5,82.733,https://www.allmusic.com/album/reunions-mw0003357573,allmusic,67,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028fc91786225ca4ee7e868060,5XIafkwTpyvL7jjLJx1xKz,3Lg3FGwBxOGuefqekQzRUf
Moses Sumney,græ,Pop/Rock,4.5,82.333,https://www.allmusic.com/album/gr%C3%A6-mw0003337384,allmusic,65,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028b40e0ef79069fb9bcc560d9,35CHoLB0GEwYlOomriifC6,5W10uJRsbt9bROJDKoI1Wn
Damu the Fudgemunk,Ocean Bridges,Jazz,4.5,82.067,https://www.allmusic.com/album/ocean-bridges-mw0003380380,allmusic,52,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0238c87446b81a035226d79449,1F7Z8pkrcZrgtpMFOGviH6,7Mws36yO3takBR2WMsXOkM
Woods,Strange to Explain,Pop/Rock,4.5,81.867,https://www.allmusic.com/album/strange-to-explain-mw0003365059,allmusic,51,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e3ae2832ffd837502e1f5b8e,6W3ljBUTGb9FhuOVZBPbQI,2sBPVEeMBXKNsZtYaJixnJ
Charli XCX,how i'm feeling now,Pop/Rock,4.0,79.333,https://www.allmusic.com/album/how-im-feeling-now-mw0003376062,allmusic,80,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02664e38c99d077cc52ab48914,3a9qH2VEsSiOZvMrjaS0Nu,25uiPmTg16RbhZWAqwLBy5
Moby,All Visible Objects,Electronic,4.0,77.933,https://www.allmusic.com/album/all-visible-objects-mw0003350027,allmusic,73,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d0ced2393c943af1a99fcfa7,7HNRfCeDNDM7wqoJnquF2Q,3OsRAKCvk37zwYcnzRf5XF
Badly Drawn Boy,Banana Skin Shoes,Pop/Rock,4.0,76.667,https://www.allmusic.com/album/banana-skin-shoes-mw0003369985,allmusic,55,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0228a8490fb10a46f0d211336d,1cAXo6rl91xweqLM9M54KP,244fcyNSuyhbRlMGfMbYrO
Nicole Atkins,Italian Ice,Pop/Rock,4.0,76.2,https://www.allmusic.com/album/italian-ice-mw0003352543,allmusic,41,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02bb1e607e7250aa00acc779dd,3Qc7NQzgwuIhQxsszCUHG2,4ab2tQaaTr2TnairelOwvO
Jimmy Buffett,Life on the Flip Side,Pop/Rock,3.5,76.2,https://www.allmusic.com/album/life-on-the-flip-side-mw0003376027,allmusic,71,2020-05-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02716131c5554bce710fa56e63,0ne63EVUZXiNCCPsi9n9Sc,28AyklUmMECPwdfo8NEsV0
Populous,W,Pop/Rock,4.0,75.067,https://www.allmusic.com/album/w-mw0003376921,allmusic,47,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e1b2bd011fdf0c9652dee855,2ykygMGjCj9xRwHsZGn3cT,5Uy8Skuxzxf38jMDTndKIU
Nick Hakim,Will This Make Me Good,R&B;,4.0,74.933,https://www.allmusic.com/album/will-this-make-me-good-mw0003369176,allmusic,58,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a9ff12ef64b31c218c68ceca,5wHIOaV0DXf73kL7i5blmM,1Goe2NezNnym45kco2xTk6
Sleaford Mods,All That Glue,Pop/Rock,4.0,73.933,https://www.allmusic.com/album/all-that-glue-mw0003364513,allmusic,53,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e2ff1f0d2a2cb8038156209c,1a9hLKtSfwy54hH18Ni6BS,0otAqZw8htTsGHfqR491Yh
Sparks,"A Steady Drip, Drip, Drip",Pop/Rock,4.0,73.933,https://www.allmusic.com/album/a-steady-drip-drip-drip-mw0003352593,allmusic,53,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02895a7bdfa7114bd79cd8f595,43DZQacT84CN8EYfKcmeSL,7pwjGKaqnfkvS7eQbHaqyH
Jerry Paper,Abracadabra,Pop/Rock,4.0,73.533,https://www.allmusic.com/album/abracadabra-mw0003365550,allmusic,51,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0209b69f892df78eff79054126,5GOXHtp97u9FzMy1VzX1vs,2gzxBoK71ohENPlxlshHV7
Katie von Schleicher,Consummation,Pop/Rock,4.0,73.267,https://www.allmusic.com/album/consummation-mw0003359830,allmusic,38,2020-05-22T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02462c80102094c50e964b662b,7BFCex0ujA1VHUvkqjqlnb,68UA9076k6lewTq2slA1FN
