artist,title,genre,rating,score,url,source,sp_popularity,sp_date,sp_img,sp_album_id,sp_artist_id
Bad Bunny,LAS QUE NO IBAN A SALIR,Rap,7.2,80.667,https://pitchfork.com/reviews/albums/bad-bunny-las-que-no-iban-a-salir/,pitchfork,99,2020-05-10T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ae879683217d488c39600092,4gvQO5mEuhbMSrLIuwXkmz,4q3ewBCX7sLwd24euuV69X
Kehlani,It Was Good Until It Wasn’t,Pop/R&B,7.7,80.4,https://pitchfork.com/reviews/albums/kehlani-it-was-good-until-it-wasnt/,pitchfork,86,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029ca43f84c89df015c7c1b89c,6ROLwnmW9pOioLned0DaP3,0cGUm45nv7Z6M6qdXYQGTX
Jason Isbell and the 400 Unit,Reunions,Folk/Country,7.8,79.133,https://pitchfork.com/reviews/albums/jason-isbell-and-the-400-unit-reunions/,pitchfork,65,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e028fc91786225ca4ee7e868060,5XIafkwTpyvL7jjLJx1xKz,3Lg3FGwBxOGuefqekQzRUf
Blake Mills,Mutable Set,Rock,8.3,77.6,https://pitchfork.com/reviews/albums/blake-mills-mutable-set/,pitchfork,54,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e021458148758e5b7c8ea04ca9d,3WBhKuBk77KL4nUHkP2xaW,4LhV33vJvXmFGSM3m5RzUR
Lil Durk,Just Cause Y’all Waited 2,Rap,7.3,77.2,https://pitchfork.com/reviews/albums/lil-durk-just-cause-yall-waited-2/,pitchfork,82,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02199263165b6ac27f20a05044,7ClxwGfXKhbDYykavKxvNY,3hcs9uc56yIGFCSy9leWe7
Sheff G,One and Only,Rap,7.3,76.733,https://pitchfork.com/reviews/albums/sheff-g-one-and-only/,pitchfork,68,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e025c0006dc4c4df1c04dc16637,6lJqLqRmWGmsw8aLEoSlZ9,1tG7s7S4sq2eFFW0QZyLbm
Drake,Dark Lane Demo Tapes,Rap,6.8,75.467,https://pitchfork.com/reviews/albums/drake-dark-lane-demo-tapes/,pitchfork,100,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02bba7cfaf7c59ff0898acba1f,6OQ9gBfg5EXeNAEwGSs6jK,3TVXtAsR1Inumwj472S9r4
Little Simz,Drop 6,Rap,7.7,75.133,https://pitchfork.com/reviews/albums/little-simz-drop-6-ep/,pitchfork,63,2020-05-06T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d0bb66e4667e13d4fdc739d6,6QrGmXbUtjyekuW83gXBBb,6eXZu6O7nAUA5z6vLV8NKI
Hayley Williams,Petals for Armor,Pop/R&B,7.2,75.0,https://pitchfork.com/reviews/albums/hayley-williams-petals-for-armor/,pitchfork,74,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02896e2483613a566bcb00d324,4HXpQ5KQBVWN25ltjnX7xa,6Rx1JKzBrSzoKQtmbVmBnM
Ka,Descendants of Cain,Rap,8.1,74.467,https://pitchfork.com/reviews/albums/ka-descendants-of-cain/,pitchfork,46,2020-05-07T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d403eff090dfe3be01debfc8,0yhyMBfxKhjy1f7TsXXssl,0cmqAB0gdr6ObvjNrQJAQr
Lil Tjay,State Of Emergency,Rap,6.7,74.2,https://pitchfork.com/reviews/albums/lil-tjay-state-of-emergency/,pitchfork,85,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024f221c0104af653803c7572a,26d9EFfi2YSvhQv7KKcrNw,6jGMq4yGs7aQzuGsMgVgZR
Erik Hall,Music for 18 Musicians,Experimental,7.8,74.2,https://pitchfork.com/reviews/albums/erik-hall-music-for-18-musicians/,pitchfork,52,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0245c345893de924724caef585,1N3q25I9vv86x6unhIKcLO,1aVONoJ0EM97BB26etc1vo
Buscabulla,Regresa,Electronic,7.7,73.6,https://pitchfork.com/reviews/albums/buscabulla-regresa/,pitchfork,52,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02da33cccbf6176c3574fe1bcc,18xOW1VhQWVgnQH9CGi9Rp,0MoaBi6dSquXp6rrlqlF8R
Clams Casino,Instrumental Relics,Rap,8.0,73.533,https://pitchfork.com/reviews/albums/clams-casino-instrumental-relics/,pitchfork,66,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029dd5e36b53cdc72c1780c70a,66eXLlqksAwNndmHaHWtCq,5vSQUyT33qxr1xAX2Tkf3A
The Soft Pink Truth,Shall We Go On Sinning So That Grace May Increase?,Electronic,8.3,73.067,https://pitchfork.com/reviews/albums/the-soft-pink-truth-shall-we-go-on-sinning-so-that-grace-may-increase/,pitchfork,43,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e026b2282eb3feec8103c3d973e,1e3s36bc0Ell9KOKEsf16V,1TzvxOvPV19Pr7UiCne5Ei
Mozzy,Beyond Bulletproof,Rap,7.3,72.467,https://pitchfork.com/reviews/albums/mozzy-beyond-bulletproof/,pitchfork,70,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02826ae8afe097fcec0f0aa5b6,3Ud5r7QHfMF1UhH8a5M1cH,4AA474G2hRfrHyGrfyDseO
Okkyung Lee,Yeo​-​Neun,Electronic,8.0,71.0,https://pitchfork.com/reviews/albums/okkyung-lee-yeo-neun/,pitchfork,30,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02a3c26915caa1e17580671f1a,0udIpMQFfhwGZIa0In5OJo,0fVfcPcdnLfSeH0ZAAEeCQ
Chicano Batman,Invisible People,Rock,7.4,70.867,https://pitchfork.com/reviews/albums/chicano-batman-invisible-people/,pitchfork,59,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02943d9325c71f05330ac89ce2,2sS14o33EFyvcUPu2dfPOT,0LklyUMMUhpIjMgYHlV0hN
Auscultation,III,Electronic,8.0,70.8,https://pitchfork.com/reviews/albums/auscultation-iii/,pitchfork,29,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e029da258991016a0bd66dec359,3K3VQ3NSIZl79vMXgiZ3T3,5KlOanD5FKL6qWZ8auNVKQ
X,ALPHABETLAND,Rock,7.6,70.467,https://pitchfork.com/reviews/albums/x-alphabetland/,pitchfork,51,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0245126c8b37b9a99b4071d63f,2rqn3T6DVKs9nWpeVXYTXB,54NqjhP2rT524Mi2GicG4K
Damien Jurado,"What’s New, Tomboy?",Rock,7.3,70.067,https://pitchfork.com/reviews/albums/damien-jurado-whats-new-tomboy/,pitchfork,58,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e023b46173af687b01d50802d64,0ImURqKkKAYcG9i9atOMSp,79JJCxCCfJ8HufX6w8q2k4
Johanna Warren,Chaotic Good,Folk/Country,7.9,70.067,https://pitchfork.com/reviews/albums/johanna-warren-chaotic-good/,pitchfork,40,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02ec16b745cdd878b7597dec6d,5k4HEcYp1adly3U1Sx3sFP,2K5c4N7j15hUwrvv0ejlvV
serpentwithfeet,Apparition,Experimental,7.8,70.0,https://pitchfork.com/reviews/albums/serpentwithfeet-apparition-ep/,pitchfork,46,2020-04-29T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02c4765ebee72d3126128ab9f9,7FCpNm4l9fNtBeakrvpVf8,1O9iHQjrVuiAYOJFCBeFSl
Nav,Good Intentions,Rap,5.8,69.0,https://pitchfork.com/reviews/albums/nav-good-intentions/,pitchfork,86,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0236f15d38804d5bdd29b9fc7a,0jk3nAmtiIfwLU4CvDDMaS,7rkW85dBwwrJtlHRDkJDAC
Austra,HiRUDiN,Electronic,7.3,68.867,https://pitchfork.com/reviews/albums/austra-hirudin/,pitchfork,52,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02cfc2352d0739633c24dd3cf8,70dAWY6KDpSriewnxFngXt,1o43SzzuLoyOxqThmp7s0g
Jess Williamson,Sorceress,,7.0,68.133,https://pitchfork.com/reviews/albums/jess-williamson-sorceress/,pitchfork,34,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0200503844fbc86b527f6e133b,4PFQNELzkJ1AFwb9GsQc26,784kOgkd1H6jU4KgPMYHi9
K-LONE,Cape Cira,Electronic,8.0,67.933,https://pitchfork.com/reviews/albums/k-lone-cape-cira/,pitchfork,38,2020-04-24T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0280afad53f0215740b5b20b7a,3u3jFYNTOIEyc5mqB6txFv,6VC4hWnnMMmOxpH6KsAXBU
Pure X,Pure X,Rock,7.5,67.667,https://pitchfork.com/reviews/albums/pure-x-pure-x/,pitchfork,40,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e0254c36f03101992054edbcb74,7hX1ZmgUvA56hbbbQGKYzk,1jofoMyHK5JjLIESpm991n
Fire-Toolz,Rainbow Bridge,Experimental,7.5,67.6,https://pitchfork.com/reviews/albums/fire-toolz-rainbow-bridge/,pitchfork,28,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02e12b5433ae2c66d5e6202b62,10fIvLCAysemioEBmquDfG,7nJawFIm90c4jAQFLabc1o
Car Seat Headrest,Making a Door Less Open,Rock,6.6,67.467,https://pitchfork.com/reviews/albums/car-seat-headrest-making-a-door-less-open/,pitchfork,66,2020-05-01T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02962ca53ba96df449c656bf38,1tuoWW0TpoI5oacIjwYBdL,5PbpKlxQE0Ktl5lcNABoFf
Ric Wilson,They Call Me Disco,Rap,7.0,67.2,https://pitchfork.com/reviews/albums/ric-wilson-terrace-martin-they-call-me-disco-ep/,pitchfork,41,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e024f1ca54de7d7d2287e60e9df,6p40dZWSVoWmChUHZjDRJD,34zbMuAgXxsgqnGXSxWvCR
Cafe Racer,Shadow Talk,Rock,7.4,66.8,https://pitchfork.com/reviews/albums/cafe-racer-shadow-talk/,pitchfork,27,2020-05-08T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02359e79565f0e9f6d21acfb7e,6WwO89y6Dxjn3q9WEZyQ2i,6IKrrPvrX4EO519S1nk2W4
Josey Rebelle,Josey in Space,Electronic,7.8,66.333,https://pitchfork.com/reviews/albums/josey-rebelle-josey-in-space/,pitchfork,1,2020-05-15T00:00.000Z,https://i.scdn.co/image/ab67616d00001e02d6b6546b74979e77bf115cbe,6v1Nilz6moJBaC5o3aXzi2,4M9tKwx3n9pIBszhn1pmkH
